site_no,year_end,distance_km_start,distance_km_end
indonesia_batang_hari_trib2,2023,50,70
indonesia_batang_hari_bedaro_agm_region,2023,-1,20000
indonesia_batang_hari,2023,590,710
indonesia_kampar_trib,2015,-1,130
indonesia_maura_soma_agm_region,2023,-1,20000
indonesia_west_kalimantan_monggo_agm_region,2023,-1,20000
indonesia_kapuas_trib,2023,-1,20000
indonesia_kahayan,2023,-1,20000
indonesia_nabire_barat,2023,-1,20000
ghana_pra_dn,2023,-1,20000
ghana_pra_up,2023,-1,20000
indonesia_batang_asai_upper_agm_region,2023,-1,20000
indonesia_south_sumatra_soetangegoh_agm_region,2023,-1,150
indonesia_lampung_agm_region,2023,-1,20000
liberia_cavalla_river_agm_region,2023,-1,240